Scripture Reference,Liturgical Usage
Rom 8:1-17,"Office of Readings, Year I: Ordinary Time, Week 3, Sunday"
Rom 8:18-39,"Office of Readings, Year I: Ordinary Time, Week 3, Monday"
Rom 9:1-18,"Office of Readings, Year I: Ordinary Time, Week 3, Tuesday"
Rom 9:19-33,"Office of Readings, Year I: Ordinary Time, Week 3, Wednesday"
Rom 10:1-21,"Office of Readings, Year I: Ordinary Time, Week 3, Thursday"
Rom 11:1-12,"Office of Readings, Year I: Ordinary Time, Week 3, Friday"
Rom 11:25-36,"Office of Readings, Year I: Ordinary Time, Week 4, Sunday"
Rom 12:1-21,"Office of Readings, Year I: Ordinary Time, Week 4, Monday"
Rom 13:1-14,"Office of Readings, Year I: Ordinary Time, Week 4, Tuesday"
Rom 14:1-23,"Office of Readings, Year I: Ordinary Time, Week 4, Wednesday"
Rom 15:1-13,"Office of Readings, Year I: Ordinary Time, Week 4, Thursday"
Rom 15:14-33,"Office of Readings, Year I: Ordinary Time, Week 4, Friday"
Rom 16:1-27,"Office of Readings, Year I: Ordinary Time, Week 4, Saturday"
1 Cor 1:1-17,"Office of Readings, Year I: Ordinary Time, Week 5, Sunday"
1 Cor 1:18-31,"Office of Readings, Year I: Ordinary Time, Week 5, Monday"
1 Cor 2:1-16,"Office of Readings, Year I: Ordinary Time, Week 5, Tuesday"
1 Cor 3:1-23,"Office of Readings, Year I: Ordinary Time, Week 5, Wednesday"
1 Cor 4:1-21,"Office of Readings, Year I: Ordinary Time, Week 5, Thursday"
1 Cor 5:1-13,"Office of Readings, Year I: Ordinary Time, Week 5, Friday"
1 Cor 6:1-11,"Office of Readings, Year I: Ordinary Time, Week 5, Saturday"
1 Cor 6:12-20,"Office of Readings, Year I: Ordinary Time, Week 6, Sunday"
1 Cor 7:1-24,"Office of Readings, Year I: Ordinary Time, Week 6, Monday"
1 Cor 7:25-40,"Office of Readings, Year I: Ordinary Time, Week 6, Tuesday"
1 Cor 8:1-13,"Office of Readings, Year I: Ordinary Time, Week 6, Wednesday"
1 Cor 9:1-18,"Office of Readings, Year I: Ordinary Time, Week 6, Thursday"
1 Cor 9:19-27,"Office of Readings, Year I: Ordinary Time, Week 6, Friday"
1 Cor 10:1-14,"Office of Readings, Year I: Ordinary Time, Week 6, Saturday"
1 Cor 10:14-11:1,"Office of Readings, Year I: Ordinary Time, Week 7, Sunday"
1 Cor 11:2-16,"Office of Readings, Year I: Ordinary Time, Week 7, Monday"
1 Cor 11:17-34,"Office of Readings, Year I: Ordinary Time, Week 7, Tuesday"
1 Cor 12:1-11,"Office of Readings, Year I: Ordinary Time, Week 7, Wednesday"
1 Cor 12:12-31a,"Office of Readings, Year I: Ordinary Time, Week 7, Thursday"
1 Cor 12:31b-13:13,"Office of Readings, Year I: Ordinary Time, Week 7, Friday"
